,band_name,fans,formed,origin,split,style
438,Nuclear Assault,187,1984,USA,-,Thrash
439,A Forest Of Stars,186,2007,United Kingdom,2007,Atmospheric black
440,All Shall Perish,186,2002,USA,-,Deathcore
441,The Sword,186,2003,USA,2003,"Doom,Stoner"
442,Caladan Brood,185,2008,USA,-,"Atmospheric black,Folk"
443,Galneryus,185,2001,Japan,2001,Power
444,Adagio,184,2000,France,-,"Progressive,Symphonic power"
445,Akercocke,184,1996,United Kingdom,1996,"Black,Death,Progressive death"
446,Axel Rudi Pell,184,1989,Germany,-,"Heavy,Power"
447,Edenbridge,184,1998,Austria,1998,"Symphonic,Progressive,Power"
448,Inquisition,184,1988,Colombia,-,"Black,Thrash"
449,Chthonic,183,1995,Taiwan,1995,"Melodic black,Extreme power,Folk"
450,Dark Angel,183,1981,USA,-,Bay area thrash
451,Parkway Drive,183,2002,Australia,2002,Metalcore
452,Psycroptic,183,1999,Australia,-,Technical death
453,Poisonblack,182,2000,Finland,2000,"Suomi,Depressive heavy"
454,The Dillinger Escape Plan,182,1997,USA,-,"Math,Metalcore"
455,Deafheaven,179,2010,USA,2010,"Atmospheric black,Post-metal,Shoegaze"
456,Rapture,179,1998,Finland,-,"Melodic death,Doom"
457,Kauan,178,2005,Russia,2005,"Folk,Doom,Black"
458,Into Eternity,177,1997,Canada,-,"Melodic death,Progressive"
459,Thy Catafalque,177,1998,United Kingdom,1998,Avantgarde black
460,Enshine,175,2009,United Kingdom,-,Gothic doom
461,Kylesa,173,2001,USA,2001,Sludge
462,Cain's Offering,172,2005,Finland,-,Power
463,Cathedral,2444,1989,United Kingdom,1989,"Doom,Stoner"
464,Forbidden,2234,1985,USA,-,Bay area thrash
465,Spawn Of Possession,2345,1997,Sweden,1997,"Brutal death,Technical death"
466,Soen,2509,2004,Sweden,-,"Progressive,Alternative"
467,Dalriada,1870,2006,Hungary,2006,Folk
468,Evoken,1980,1992,USA,-,"Death,Funeral doom"
469,Misery Index,1426,2001,USA,2001,Deathgrind
470,August Burns Red,1524,2003,USA,-,Technical metalcore
471,Disarmonia Mundi,1487,2000,Italy,2000,Gothenburg
472,In Vain,1690,2003,Norway,-,"Death,Progressive death"
473,Jorn,1789,2000,Norway,2000,Heavy
474,Absu,2365,1989,USA,-,"Death,Blackened thrash"
475,Anorexia Nervosa,2109,1995,France,1995,"Symphonic black,Industrial"
476,Charon,2024,1992,Finland,2011,"Suomi,Death"
477,Suicide Silence,2220,2002,USA,2002,Deathcore
478,Vomitory,2316,1989,Sweden,2013,Death
479,Born Of Osiris,3789,2003,USA,2003,Progressive deathcore
480,Sleep,3685,1990,USA,-,Stoner
481,Unearth,3975,1998,USA,1998,Metalcore
482,Forest Of Shadows,3562,1997,Sweden,-,"Death doom,Atmospheric doom"
483,Goatwhore,3604,1997,USA,1997,"Blackened thrash,Blackened death"
484,Noumena,2870,1998,Finland,-,Melodic death
485,Stream Of Passion,2982,2005,The Netherlands,2005,Symphonic progressive
486,White Zombie,3098,1985,USA,1998,"Noise rock,Alternative thrash,Industrial"
487,Onslaught,3276,1983,United Kingdom,1983,Thrash
488,Thin Lizzy,3267,1969,Ireland,-,"Hard rock,Heavy"
489,Ulcerate,3450,2000,New Zealand,2000,Technical death
490,Battlelore,2698,1999,Finland,-,"Folk,Power"
491,Black Sun Aeon,3918,2008,Finland,2008,"Melodic death,Doom"
492,Lacrimas Profundere,3412,1993,Germany,-,"Doom,Gothic"
493,Nocturnal Rites,2256,1990,Sweden,1990,Power
494,Heathen,1134,1984,USA,-,Bay area thrash
495,Pelican,4156,2001,USA,2001,Instrumental post-metal
496,Acid Bath,2354,1990,USA,1997,"Doom,Sludge"
497,Amberian Dawn,4230,2006,Finland,2006,Symphonic power
498,Converge,1558,1990,USA,-,"Metalcore,Hardcore,Post-hardcore,Punk"
